no,image,name,place,date,material,size,acquired
42,assets/img42.jpg,London Double Decker Bus,"London, UK",August 2015,Metal,Girl Scout Tagalong,Bought
43,assets/img43.jpg,Roma Landmarks,"Rome, Italy",August 2015,Metal,Donut Hole,Bought
44,assets/img44.jpg,Italy Coat of Arms,"Rome, Italy",August 2015,Metal,Dried Apricot,Bought
45,assets/img45.jpg,Fudan University Apple,"Shanghai, China",2016 (?),Metal and Enamel,Prune,Gift from Dad
46,assets/img46.jpg,Soccer Player,"Beijing, China",Summer 2008,Plastic,Orange Slice,Bought
47,assets/img47.jpg,Din Tai Fung Bowl,"Taipei, Taiwan",2016,Metal and Enamel,Shell Pasta,Gift from Mom
48,assets/img48.jpg,Din Tai Fung Chopsticks,"Taipei, Taiwan",2016,Metal and Enamel,Gummy Worm,Gift from Mom
49,assets/img49.jpg,State College Area High School Pawprint,"State College, PA",May 2015,Metal,Hazelnut,Bought
50,assets/img50.jpg,Salt Lake Temple,"Salt Lake City, UT",2013 (?),Metal,York Peppermint Patty,Bought
51,assets/img51.jpg,Sea World Shamu,"San Diego, CA",2014 (?),Metal and Resin,Strawberry,Bought
52,assets/img52.jpg,USS Constitution,"Baltimore, MD",2014 (?),Metal and Resin,Macaroon,Bought
53,assets/img53.jpg,PSU Plastics,"State College, PA",2005 (?),Plastic,Pims Cookie,Free Handout
54,assets/img54.jpg,Arizona Bird,"Phoenix, AZ",,Plastic,,Gift from Dad
55,assets/img55.jpg,RISD,"Providence, RI",Spring 2014,Metal,,Bought
56,assets/img56.jpg,Universal Studios Globe,"Orlando, FL",2013 (?),Metal,,Bought
57,assets/img57.jpg,Yellowstone Bear Print,Yellowstone,2011 (?),Metal and Resin,,Bought
58,assets/img58.jpg,Dreamcatcher,"State College, PA",2011 (?),Cloth and String,,Gift from Grandpa
59,assets/img59.jpg,SF Bear,"San Francisco, CA",2013 (?),Metal,,Bought
60,assets/img60.jpg,Watch Shoe,"Shanghai, China",2010 (?),Cloth and Metal,Twinkie,Bought
61,assets/img61.jpg,Singapore Skyline,Singapore,2014 (?),Metal,,Gift from Dad
62,assets/img62.jpg,Power of the PAWS,"State College, PA",2012,Plastic,,Received at School
63,assets/img63.jpg,Maple Leaf,"Vancouver, Canada",August 2016,Wood,,Bought
64,assets/img64.jpg,Family Portrait,China,2013 (?),Plastic,,Bought
65,assets/img65.jpg,Ox Pressed Coin,"Shanghai, China",2012 (?),Plastic and Metal,,Bought
66,assets/img66.jpg,God Bless America,"State College, PA",Unknown,Metal and Resin,,Gift from Grandpa
67,assets/img67.jpg,Minnie Mouse,"Orlando, FL",December 2015,Leather,,Bought
69,assets/img69.jpg,Stephansdom,Austria,2016 (?),Metal,,Gift from Dad
